Topics,Alpha,Beta,Coherence
10,0.31,0.61,0.2987021758630844
10,0.31,symmetric,0.2789986696638118
10,0.61,0.01,0.2815236304490403
10,0.61,0.31,0.279354972061199
10,0.61,0.61,0.3015625568326394
10,0.61,symmetric,0.2772180140808069
10,symmetric,0.01,0.28173103723067455
10,symmetric,0.31,0.27286831079136326
10,symmetric,0.61,0.28465615648874265
10,symmetric,symmetric,0.2859791210579785
10,asymmetric,0.01,0.27711133246873754
10,asymmetric,0.31,0.2758561412610699
10,asymmetric,0.61,0.3307202110613807
10,asymmetric,symmetric,0.2804716919995465
11,0.01,0.01,0.28947967813245307
11,0.01,0.31,0.27226484339176843
11,0.01,0.61,0.2898560357997131
11,0.01,symmetric,0.27592798795319834
11,0.31,0.01,0.2940802623443612
11,0.31,0.31,0.2861643516342061
11,0.31,0.61,0.2942849323327229
11,0.31,symmetric,0.2921194390005828
11,0.61,0.01,0.288862361371891
11,0.61,0.31,0.2764502330121882
11,0.61,0.61,0.29320627626256657
11,0.61,symmetric,0.28068775261842877
11,symmetric,0.01,0.2905223525203025
11,symmetric,0.31,0.26730925922288673
11,symmetric,0.61,0.29163630306364874
11,symmetric,symmetric,0.287564479121847
11,asymmetric,0.01,0.28411715029250745
11,asymmetric,0.31,0.2617164011294921
11,asymmetric,0.61,0.3210704079581326
11,asymmetric,symmetric,0.2684278382475514
12,0.01,0.01,0.2781605956540184
12,0.01,0.31,0.28497919208843553
12,0.01,0.61,0.29307219160225656
12,0.01,symmetric,0.27989154802161903
12,0.31,0.01,0.2779463557482015
12,0.31,0.31,0.27911833693507515
12,0.31,0.61,0.29180969844488863
12,0.31,symmetric,0.2771290883460138
12,0.61,0.01,0.27980152775136646
12,0.61,0.31,0.2658412616731116
12,0.61,0.61,0.2957595334235964
12,0.61,symmetric,0.2771129131885894
12,symmetric,0.01,0.27979791281951966
12,symmetric,0.31,0.27271876261724226
12,symmetric,0.61,0.2999442768745493
12,symmetric,symmetric,0.2789287455847765
12,asymmetric,0.01,0.27411341012542906
12,asymmetric,0.31,0.2727123387869294
12,asymmetric,0.61,0.3037694288394425
12,asymmetric,symmetric,0.27719586625673737
13,0.01,0.01,0.28227463131134933
13,0.01,0.31,0.2725940965573408
13,0.01,0.61,0.2813709309011031
13,0.01,symmetric,0.2811872251608014
13,0.31,0.01,0.28264971731856275
13,0.31,0.31,0.2611171041452823
13,0.31,0.61,0.2955760884528754
13,0.31,symmetric,0.27904294010444014
13,0.61,0.01,0.28176190575035076
13,0.61,0.31,0.2723889317520676
13,0.61,0.61,0.28455677691225734
13,0.61,symmetric,0.2809611060256689
13,symmetric,0.01,0.2826216030832269
13,symmetric,0.31,0.27301023336564534
13,symmetric,0.61,0.27285969130436777
13,symmetric,symmetric,0.2818244792409679
13,asymmetric,0.01,0.28496442756976803
13,asymmetric,0.31,0.27508268313328854
13,asymmetric,0.61,0.3327852231604397
13,asymmetric,symmetric,0.27696864260891935
14,0.01,0.01,0.27711651614124844
14,0.01,0.31,0.28320061456235057
14,0.01,0.61,0.315395368259831
14,0.01,symmetric,0.2898809431876569
14,0.31,0.01,0.28686465774256836
14,0.31,0.31,0.2926184288292185
14,0.31,0.61,0.30840720046219666
14,0.31,symmetric,0.2858221616010229
14,0.61,0.01,0.2737894807059892
14,0.61,0.31,0.28381750284243734
14,0.61,0.61,0.27741691397270635
14,0.61,symmetric,0.271038188882065
14,symmetric,0.01,0.2786212238949849
14,symmetric,0.31,0.2831861844793178
14,symmetric,0.61,0.3057544327774641
14,symmetric,symmetric,0.29088220086940597
14,asymmetric,0.01,0.27901723913372306
14,asymmetric,0.31,0.31895709247630466
14,asymmetric,0.61,0.344481321161258
14,asymmetric,symmetric,0.2795813805365098
