Topics,Alpha,Beta,Coherence
7,symmetric,0.61,0.3537063736056406
7,symmetric,symmetric,0.33667080773848296
7,asymmetric,0.01,0.3450987482003339
7,asymmetric,0.31,0.3666906982314188
7,asymmetric,0.61,0.4098863125594847
7,asymmetric,symmetric,0.3400432239976668
8,0.01,0.01,0.34249389898353877
8,0.01,0.31,0.35382217236749924
8,0.01,0.61,0.36821296813519366
8,0.01,symmetric,0.32316827476868937
8,0.31,0.01,0.32543577796611106
8,0.31,0.31,0.31650745089123333
8,0.31,0.61,0.38688571027214624
8,0.31,symmetric,0.33469844574470675
8,0.61,0.01,0.3480646549251166
8,0.61,0.31,0.32681393264917324
8,0.61,0.61,0.38072431661822337
8,0.61,symmetric,0.34019656337285026
8,symmetric,0.01,0.3365770360594158
8,symmetric,0.31,0.3202305942944873
8,symmetric,0.61,0.36095993261814585
8,symmetric,symmetric,0.3320938657063248
8,asymmetric,0.01,0.33754058702795686
8,asymmetric,0.31,0.3360497927981765
8,asymmetric,0.61,0.45710086325281346
8,asymmetric,symmetric,0.3342608998850653
9,0.01,0.01,0.33286053414549294
9,0.01,0.31,0.31391082055855457
9,0.01,0.61,0.3569126164612351
9,0.01,symmetric,0.330003898434034
9,0.31,0.01,0.3231391994020117
9,0.31,0.31,0.3448112858559853
9,0.31,0.61,0.37658597035451974
9,0.31,symmetric,0.31717576068558057
9,0.61,0.01,0.3224691246462499
9,0.61,0.31,0.3342387396931559
9,0.61,0.61,0.36209125236951645
9,0.61,symmetric,0.3325270958702138
9,symmetric,0.01,0.3294616476236243
9,symmetric,0.31,0.34028337196773556
9,symmetric,0.61,0.3894149715828087
9,symmetric,symmetric,0.34617055770582306
9,asymmetric,0.01,0.3380606595304733
9,asymmetric,0.31,0.3481627641406285
9,asymmetric,0.61,0.36278312868630147
9,asymmetric,symmetric,0.35338182036027976
10,0.01,0.01,0.32771859613920984
10,0.01,0.31,0.3152866190746252
10,0.01,0.61,0.40495268856433553
10,0.01,symmetric,0.3204679117648211
10,0.31,0.01,0.3281554359108944
10,0.31,0.31,0.3427830401791024
10,0.31,0.61,0.3534257500632855
10,0.31,symmetric,0.31334354496306743
10,0.61,0.01,0.3147685020618168
10,0.61,0.31,0.3333648644517092
10,0.61,0.61,0.3942061037324369
10,0.61,symmetric,0.32979238200884764
10,symmetric,0.01,0.32872067901626484
10,symmetric,0.31,0.34578294923202785
10,symmetric,0.61,0.4281075971859659
10,symmetric,symmetric,0.3303321616606817
10,asymmetric,0.01,0.3240681964904394
10,asymmetric,0.31,0.35843727192556224
10,asymmetric,0.61,0.45782284480896446
