Topics,Alpha,Beta,Coherence
10,asymmetric,0.01,0.4329689591545982
10,asymmetric,0.31,0.4648943200597305
10,asymmetric,0.61,0.4735791290037309
10,asymmetric,symmetric,0.4323361131403921
11,0.01,0.01,0.4702807302224467
11,0.01,0.31,0.505507818782467
11,0.01,0.61,0.47456609033730685
11,0.01,symmetric,0.45437639042490297
11,0.31,0.01,0.4430926551993485
11,0.31,0.31,0.500942321722275
11,0.31,0.61,0.5386111883028493
11,0.31,symmetric,0.4273790978148968
11,0.61,0.01,0.4351292868789543
11,0.61,0.31,0.4169435909766483
11,0.61,0.61,0.4933017860930905
11,0.61,symmetric,0.42816182867062014
11,symmetric,0.01,0.46036314432272535
11,symmetric,0.31,0.4741936871497423
11,symmetric,0.61,0.45253510306180667
11,symmetric,symmetric,0.47500987305165177
11,asymmetric,0.01,0.44248116193703274
11,asymmetric,0.31,0.5029479724041911
11,asymmetric,0.61,0.4521246528509939
11,asymmetric,symmetric,0.506163924457367
12,0.01,0.01,0.451957909356534
12,0.01,0.31,0.4803901815281517
12,0.01,0.61,0.5037892881840201
12,0.01,symmetric,0.4500822120297661
12,0.31,0.01,0.4186651560875883
12,0.31,0.31,0.4722129654527866
12,0.31,0.61,0.5119753938432973
12,0.31,symmetric,0.42531905871410514
12,0.61,0.01,0.4237407943905492
12,0.61,0.31,0.4505464040847054
12,0.61,0.61,0.46773671662588323
12,0.61,symmetric,0.41959710611764756
12,symmetric,0.01,0.4520800606011793
12,symmetric,0.31,0.4997989037905249
12,symmetric,0.61,0.5300184021020259
12,symmetric,symmetric,0.4259056775605155
12,asymmetric,0.01,0.44914596292531345
12,asymmetric,0.31,0.5073031259119593
12,asymmetric,0.61,0.4695654800932894
12,asymmetric,symmetric,0.48593591999548114
13,0.01,0.01,0.4442409272357766
13,0.01,0.31,0.4764076732889687
13,0.01,0.61,0.49607639431054606
13,0.01,symmetric,0.4484226956078937
13,0.31,0.01,0.4233297869729427
13,0.31,0.31,0.4688523862773557
13,0.31,0.61,0.5040406847261912
13,0.31,symmetric,0.39990733746633017
13,0.61,0.01,0.4035140378329988
13,0.61,0.31,0.43446271193884684
13,0.61,0.61,0.4706597857527238
13,0.61,symmetric,0.4056866698606043
13,symmetric,0.01,0.4419180436575468
13,symmetric,0.31,0.41963887042679826
13,symmetric,0.61,0.5112349016825932
13,symmetric,symmetric,0.4160466392431343
13,asymmetric,0.01,0.44426834422323436
13,asymmetric,0.31,0.47868332405709657
13,asymmetric,0.61,0.47715015244813136
13,asymmetric,symmetric,0.46751422418092636
14,0.01,0.01,0.4491228544027825
14,0.01,0.31,0.4772392959657966
14,0.01,0.61,0.4918130602532647
14,0.01,symmetric,0.45007423168145444
14,0.31,0.01,0.41455252110712987
14,0.31,0.31,0.484885897800147
14,0.31,0.61,0.5183059270145828
14,0.31,symmetric,0.41328563543022306
14,0.61,0.01,0.3957682289214342
14,0.61,0.31,0.4527754789169779
14,0.61,0.61,0.46650917695828925
14,0.61,symmetric,0.40603695699765163
14,symmetric,0.01,0.44669889700942633
14,symmetric,0.31,0.5021594706161461
14,symmetric,0.61,0.4966313630204558
14,symmetric,symmetric,0.4267165892059753
14,asymmetric,0.01,0.439735021457052
14,asymmetric,0.31,0.5486984615720144
14,asymmetric,0.61,0.49579741863573384
14,asymmetric,symmetric,0.4465934365754696
